"","time","t00","t02","t04","t08","t10","t18","t23","t25","t26","t27"
"1",0.1,1,0,1,0,2,0,1,0,2,5
"2",0.2,0,0,2,0,1,0,2,0,0,4
"3",0.3,0,0,1,0,0,0,1,0,0,3
"4",0.4,0,0,5,0,3,2,2,0,0,7
"5",0.5,1,0,2,0,1,0,2,0,0,5
"6",0.6,0,0,0,0,0,0,1,0,0,0
"7",0.7,1,0,2,0,0,0,1,0,0,6
"8",0.8,0,0,2,0,0,1,3,0,0,6
"9",0.9,0,0,2,0,1,0,1,0,0,6
"10",1,0,0,2,0,0,0,1,0,0,6
"11",1.1,0,0,3,0,0,0,0,0,0,3
"12",1.2,1,0,2,0,0,1,1,0,0,4
"13",1.3,0,0,2,0,0,0,2,0,0,4
"14",1.4,0,0,0,0,0,0,0,0,1,4
"15",1.5,0,0,2,0,0,1,0,0,2,6
"16",1.6,1,0,0,0,0,0,2,0,0,6
"17",1.7,0,1,0,1,2,0,1,0,0,10
"18",1.8,0,1,0,0,1,0,0,0,0,4
"19",1.9,0,1,0,0,0,0,0,0,0,3
"20",2,0,0,1,0,0,0,1,0,0,3
"21",2.1,0,0,0,0,0,0,3,0,0,2
"22",2.2,0,1,0,0,0,0,1,0,0,3
"23",2.3,0,1,0,0,0,0,1,0,0,3
"24",2.4,0,1,0,0,0,0,3,0,0,3
"25",2.5,0,0,0,0,0,0,0,0,0,2
"26",2.6,0,0,0,0,0,0,0,0,0,2
"27",2.7,1,0,3,0,0,0,1,0,0,4
"28",2.8,0,0,2,0,0,0,3,0,0,6
"29",2.9,0,0,0,0,0,0,2,0,0,4
"30",3,0,1,0,0,0,0,2,0,0,4
"31",3.1,0,0,0,0,0,0,1,0,0,2
"32",3.2,0,0,2,0,0,0,1,0,0,2
"33",3.3,0,0,3,0,0,0,4,0,0,4
"34",3.4,0,0,1,0,0,0,2,0,0,3
"35",3.5,0,0,4,0,0,0,2,0,0,3
"36",3.6,2,0,3,0,0,0,1,0,0,6
"37",3.7,1,0,2,0,0,0,3,0,0,3
"38",3.8,2,0,3,0,1,0,1,0,0,3
"39",3.9,0,0,1,0,1,0,2,0,0,1
"40",4,2,0,0,0,1,0,1,0,0,1
"41",4.1,0,0,0,0,0,0,2,0,0,2
"42",4.2,4,0,0,0,1,0,3,0,5,2
"43",4.3,0,0,0,0,0,0,3,0,6,0
"44",4.4,2,0,0,0,0,7,0,1,8,0
"45",4.5,1,0,0,0,0,11,1,0,6,0
"46",4.6,0,1,0,0,0,11,0,0,3,0
"47",4.7,0,0,0,0,0,9,2,0,4,0
"48",4.8,0,0,0,0,1,4,0,0,2,0
"49",4.9,0,0,0,0,0,1,1,0,0,0
"50",5,0,0,0,0,0,2,1,0,0,0
"51",5.1,0,0,0,0,0,1,1,0,0,0
"52",5.2,0,0,0,0,0,1,1,0,0,0
"53",5.3,0,0,0,0,0,0,0,0,0,0
"54",5.4,0,1,0,0,0,0,1,0,0,1
"55",5.5,0,0,0,0,1,0,1,0,0,1
"56",5.6,0,0,1,0,1,0,0,0,0,0
"57",5.7,0,0,0,0,1,0,0,0,0,0
"58",5.8,0,0,0,0,0,0,0,0,0,0
"59",5.9,1,0,0,0,0,0,0,0,0,0
"60",6,0,1,0,0,0,0,0,0,0,0
"61",6.1,0,0,0,0,0,0,0,0,0,1
"62",6.2,0,0,0,0,0,0,0,0,0,0
"63",6.3,0,0,0,0,0,0,1,0,0,1
"64",6.4,0,0,0,0,0,0,1,0,0,0
"65",6.5,0,0,0,0,0,0,0,0,0,0
"66",6.6,0,0,0,0,0,0,0,0,0,0
"67",6.7,0,0,0,0,0,0,4,0,0,3
"68",6.8,0,0,0,0,2,0,1,0,0,3
"69",6.9,1,0,0,0,0,0,0,0,0,1
"70",7,0,0,0,1,4,0,0,0,0,0
"71",7.1,0,0,1,0,3,0,0,0,0,3
"72",7.2,0,1,1,0,1,0,1,0,0,0
"73",7.3,1,0,0,0,1,0,0,0,0,0
"74",7.4,0,1,1,1,2,0,0,0,0,3
"75",7.5,0,1,0,0,0,0,0,0,0,0
"76",7.6,0,0,1,0,1,0,1,0,0,2
"77",7.7,0,0,4,1,2,0,0,0,1,10
"78",7.8,0,0,2,1,0,2,0,0,1,4
"79",7.9,0,0,1,0,0,0,1,0,0,2
"80",8,1,0,1,1,1,0,2,0,5,6
"81",8.1,0,0,2,0,0,0,0,0,3,4
"82",8.2,0,0,3,0,0,2,1,0,2,1
"83",8.3,0,0,2,0,0,0,2,0,4,2
"84",8.4,0,0,2,0,0,0,2,0,2,3
"85",8.5,0,0,3,0,0,2,2,0,5,4
"86",8.6,0,0,2,0,1,2,1,0,1,2
"87",8.7,2,0,3,1,0,1,2,0,2,4
"88",8.8,1,0,2,1,0,0,3,1,3,2
"89",8.9,1,0,3,0,0,0,1,0,3,2
"90",9,0,0,0,1,0,0,3,0,2,6
"91",9.1,0,0,1,0,0,0,4,0,0,0
"92",9.2,0,0,2,1,0,0,2,0,0,2
"93",9.3,0,0,0,1,0,0,3,0,0,3
"94",9.4,0,0,0,1,0,0,2,0,0,3
"95",9.5,0,0,0,1,0,0,1,0,0,5
"96",9.6,1,0,1,1,0,0,3,0,0,8
"97",9.7,0,0,0,0,0,0,2,0,1,6
"98",9.8,0,0,0,1,0,0,1,0,0,6
"99",9.9,1,0,0,0,1,0,0,0,0,4
"100",10,0,0,0,1,0,0,0,0,0,5
"101",10.1,0,0,2,0,0,1,3,0,1,5
"102",10.2,0,0,1,2,0,0,1,0,3,6
"103",10.3,0,0,2,3,0,5,1,0,0,6
"104",10.4,0,1,2,3,0,5,1,0,0,5
"105",10.5,0,0,1,2,0,7,0,0,2,7
"106",10.6,0,0,0,1,0,3,0,0,0,3
"107",10.7,1,0,0,4,0,2,0,0,0,7
"108",10.8,0,0,0,2,0,0,1,0,0,7
"109",10.9,0,0,0,1,0,0,2,0,0,5
"110",11,0,0,0,0,0,1,1,0,0,5
"111",11.1,0,0,0,0,0,0,1,0,0,0
"112",11.2,0,0,1,0,0,0,1,0,0,1
"113",11.3,0,0,0,0,0,0,2,0,0,0
"114",11.4,0,0,0,0,0,0,1,0,0,1
"115",11.5,0,0,0,0,0,0,1,0,0,0
"116",11.6,0,0,0,0,0,0,0,0,0,0
"117",11.7,0,0,0,0,3,0,1,0,0,3
"118",11.8,0,1,0,0,4,0,0,0,0,0
"119",11.9,0,0,0,0,7,0,0,0,0,1
"120",12,0,1,0,1,2,0,0,0,0,0
"121",12.1,0,0,0,0,7,0,1,0,0,0
"122",12.2,0,0,0,0,3,0,0,0,0,0
"123",12.3,0,0,0,0,4,0,0,0,0,3
"124",12.4,0,0,0,1,2,0,0,0,0,0
"125",12.5,0,0,0,0,4,0,0,0,0,1
"126",12.6,0,0,0,0,5,0,0,0,0,0
"127",12.7,0,4,1,0,0,3,5,0,0,8
"128",12.8,0,1,12,0,1,0,2,1,0,5
"129",12.9,0,2,0,0,0,0,0,0,0,0
"130",13,1,0,0,0,0,0,1,0,0,0
"131",13.1,0,2,1,0,0,1,0,0,0,0
"132",13.2,0,0,2,0,1,1,1,0,0,0
"133",13.3,0,1,1,0,0,3,0,0,0,1
"134",13.4,0,2,0,0,0,2,0,0,0,1
"135",13.5,1,3,3,0,0,4,1,0,0,0
"136",13.6,0,2,1,0,0,2,1,0,0,1
"137",13.7,0,4,5,0,3,6,1,0,0,0
"138",13.8,1,3,0,0,0,4,3,0,0,0
"139",13.9,0,1,0,0,0,0,6,0,0,0
"140",14,3,0,0,0,0,1,6,0,0,1
"141",14.1,2,0,0,0,0,0,7,0,0,5
"142",14.2,0,0,0,0,0,0,7,0,0,2
"143",14.3,0,0,0,0,0,0,4,0,0,0
"144",14.4,0,0,0,0,0,0,3,0,0,0
"145",14.5,1,0,0,0,0,0,4,0,0,5
"146",14.6,0,0,0,0,0,0,2,0,0,3
"147",14.7,0,0,0,0,0,0,0,1,0,5
"148",14.8,0,1,0,0,0,0,1,0,0,3
"149",14.9,0,0,0,0,0,0,2,0,0,3
"150",15,0,0,0,0,0,0,1,0,0,1
"151",15.1,0,2,0,0,0,0,0,0,0,0
"152",15.2,1,0,0,0,0,0,1,0,0,0
"153",15.3,1,0,0,0,1,0,1,0,0,1
"154",15.4,0,0,0,2,2,1,0,0,0,1
"155",15.5,0,0,0,0,0,0,0,0,0,1
"156",15.6,0,0,1,0,4,0,0,0,0,0
"157",15.7,0,0,0,0,2,0,0,0,0,0
"158",15.8,1,0,0,0,3,0,2,0,0,0
"159",15.9,0,0,0,0,2,0,1,0,0,1
